[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-04-03 18:27:28,202 INFO [main][DiscoveryClient.java:365] - Discovery Client initialized at timestamp 1648981648201 with initial instances count: 0
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-04-03 18:27:28,228 INFO [main][DefaultEurekaServerContext.java:63] - Initializing ...
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-04-03 18:27:28,230 INFO [main][PeerEurekaNodes.java:188] - Adding new peer nodes [http://localhost:53000/eureka/]
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-04-03 18:27:28,953 INFO [main][DiscoveryJerseyProvider.java:70] - Using JSON encoding codec LegacyJacksonJson
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-04-03 18:27:28,954 INFO [main][DiscoveryJerseyProvider.java:71] - Using JSON decoding codec LegacyJacksonJson
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-04-03 18:27:28,954 INFO [main][DiscoveryJerseyProvider.java:80] - Using XML encoding codec XStreamXml
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-04-03 18:27:28,954 INFO [main][DiscoveryJerseyProvider.java:81] - Using XML decoding codec XStreamXml
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-04-03 18:27:29,077 INFO [main][PeerEurekaNodes.java:110] - Replica node URL:  http://localhost:53000/eureka/
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-04-03 18:27:29,083 INFO [main][AbstractInstanceRegistry.java:151] - Finished initializing remote region registries. All known remote regions: []
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-04-03 18:27:29,084 INFO [main][DefaultEurekaServerContext.java:70] - Initialized
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-04-03 18:27:29,091 INFO [main][EndpointLinksResolver.java:59] - Exposing 2 endpoint(s) beneath base path '/actuator'
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-04-03 18:27:29,157 INFO [main][EurekaServiceRegistry.java:42] - Registering application HNRADIO-DISCOVERY with eureka with status UP
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-04-03 18:27:29,160 INFO [Thread-35][EurekaServerBootstrap.java:109] - Setting the eureka configuration..
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-04-03 18:27:29,161 INFO [Thread-35][EurekaServerBootstrap.java:114] - Eureka data center value eureka.datacenter is not set, defaulting to default
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-04-03 18:27:29,161 INFO [Thread-35][EurekaServerBootstrap.java:128] - Eureka environment value eureka.environment is not set, defaulting to test
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-04-03 18:27:29,171 INFO [Thread-35][EurekaServerBootstrap.java:184] - isAws returned false
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-04-03 18:27:29,172 INFO [Thread-35][EurekaServerBootstrap.java:152] - Initialized server context
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-04-03 18:27:29,172 INFO [Thread-35][PeerAwareInstanceRegistryImpl.java:241] - Got 1 instances from neighboring DS node
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-04-03 18:27:29,172 INFO [Thread-35][PeerAwareInstanceRegistryImpl.java:242] - Renew threshold is: 1
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-04-03 18:27:29,172 INFO [Thread-35][PeerAwareInstanceRegistryImpl.java:253] - Changing status to UP
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-04-03 18:27:29,172 INFO [main][DirectJDKLog.java:173] - Starting ProtocolHandler ["http-nio-53000"]
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-04-03 18:27:29,178 INFO [Thread-35][EurekaServerInitializerConfiguration.java:72] - Started Eureka Server
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-04-03 18:27:29,192 INFO [main][TomcatWebServer.java:204] - Tomcat started on port(s): 53000 (http) with context path ''
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-04-03 18:27:29,193 INFO [main][EurekaAutoServiceRegistration.java:141] - Updating port to 53000
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-04-03 18:27:29,195 INFO [main][StartupInfoLogger.java:59] - Started DiscoveryServer in 14.96 seconds (JVM running for 17.417)
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-04-03 18:27:31,348 INFO [RMI TCP Connection(6)-192.168.56.1][DirectJDKLog.java:173] - Initializing Spring DispatcherServlet 'dispatcherServlet'
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-04-03 18:27:31,349 INFO [RMI TCP Connection(6)-192.168.56.1][FrameworkServlet.java:524] - Initializing Servlet 'dispatcherServlet'
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-04-03 18:27:31,357 INFO [RMI TCP Connection(6)-192.168.56.1][FrameworkServlet.java:546] - Completed initialization in 8 ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-04-03 18:27:39,174 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 0ms
